section_id,section_code,from_station,to_station,length_km,section_status,source,length_basis,topology_source
20,MBQ_DIVA,MBQ,DIVA,1.969,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
21,DIVA_KOPR,DIVA,KOPR,4.556,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
22,KOPR_DI,KOPR,DI,1.22,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
23,DI_THK,DI,THK,1.409,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
24,THK_KYN,THK,KYN,3.51,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
25,KYN_VLDI,KYN,VLDI,2.117,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
26,VLDI_ULNR,VLDI,ULNR,1.947,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
27,ULNR_ABH,ULNR,ABH,2.399,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
28,ABH_BUD,ABH,BUD,7.513,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
29,BUD_VGI,BUD,VGI,10.323,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
30,VGI_SHLU,VGI,SHLU,3.886,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
31,SHLU_NRL,SHLU,NRL,3.992,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
32,NRL_BVS,NRL,BVS,6.411,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
33,BVS_KJT,BVS,KJT,6.71,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
34,KJT_PDI,KJT,PDI,3.01,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
35,PDI_KAD,PDI,KAD,15.545,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
36,KAD_LNL,KAD,LNL,3.253,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
37,LNL_MVL,LNL,MVL,7.705,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
38,MVL_KMST,MVL,KMST,7.976,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
39,KMST_KNHE,KMST,KNHE,4.416,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
40,KNHE_VDN,KNHE,VDN,5.008,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
41,VDN_TGN,VDN,TGN,3.803,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
42,TGN_GRWD,TGN,GRWD,3.07,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
43,GRWD_BGWI,GRWD,BGWI,2.562,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
44,BGWI_DEHR,BGWI,DEHR,3.512,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
45,DEHR_AKRD,DEHR,AKRD,4.769,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
46,AKRD_CCH,AKRD,CCH,3.038,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
47,CCH_PMP,CCH,PMP,2.094,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
48,PMP_KSWD,PMP,KSWD,2.613,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
49,KSWD_DAPD,KSWD,DAPD,3.314,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
50,DAPD_KK,DAPD,KK,2.062,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
51,KK_SVJR,KK,SVJR,3.654,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
52,SVJR_PUNE,SVJR,PUNE,2.328,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
